0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,complex_param
0.0,3.0,4,,4,3,3,2,4,2.0,3,3.0,3,3,3,1,1,3.0,3,2,3,2,0.0,4.0,2.0,3.0,4.0,4,4.0,2,3,2,3.0,4.0,3,3,4.0,4.0,3,2,3,0,0,4,3,3,2,2,3,4,2,4.0,4.0,,2,3,4.0,2.0,1.0,2.0,3.0,0,1,2,4.0,1,3.0,1,2,3.0,0.0,0.0,3.0,4.0,,3.0,2,3,2,2,0.0,3.0,3,0.0,0.0,4.0,4,2.0,4,,3.0,4.0,54,5
,,2,,2,0,0,3,3,0.0,2,1.0,1,1,0,1,2,3.0,3,1,0,3,0.0,3.0,3.0,3.0,3.0,2,3.0,3,2,3,,3.0,2,2,0.0,3.0,2,2,2,2,2,2,2,2,3,3,2,2,3,3.0,2.0,3.0,3,3,2.0,3.0,3.0,3.0,,3,2,3,3.0,1,,2,2,,3.0,,3.0,3.0,,3.0,3,2,0,0,,3.0,0,3.0,2.0,3.0,3,2.0,3,,3.0,,55,5
,,0,,0,2,2,3,2,3.0,2,3.0,2,2,2,2,2,3.0,3,1,1,2,3.0,3.0,2.0,,,1,2.0,3,2,3,,3.0,1,0,2.0,3.0,2,2,1,2,3,1,1,0,3,0,2,1,2,3.0,2.0,3.0,3,3,0.0,3.0,3.0,3.0,,0,1,3,3.0,1,,3,2,,0.0,,,3.0,,3.0,3,1,2,2,3.0,3.0,0,,3.0,2.0,2,3.0,3,0.0,3.0,3.0,56,5
,,3,0.0,3,2,3,0,4,3.0,3,3.0,3,2,3,1,3,0.0,2,2,0,2,4.0,4.0,3.0,4.0,4.0,3,3.0,3,2,4,4.0,4.0,3,3,4.0,4.0,2,2,3,0,3,3,2,3,3,0,2,3,2,3.0,0.0,4.0,1,4,4.0,2.0,2.0,1.0,3.0,2,2,2,4.0,1,4.0,2,3,,3.0,4.0,4.0,4.0,,0.0,3,0,3,2,3.0,3.0,0,4.0,3.0,3.0,3,3.0,3,,3.0,,57,5
4.0,,2,,2,1,2,3,0,4.0,3,4.0,2,2,2,2,0,0.0,3,1,0,3,4.0,4.0,3.0,4.0,4.0,2,3.0,3,1,0,4.0,3.0,2,1,3.0,4.0,2,2,1,3,3,1,2,0,3,3,3,3,3,3.0,3.0,0.0,3,3,3.0,4.0,4.0,4.0,4.0,3,2,3,3.0,2,4.0,3,1,4.0,2.0,2.0,4.0,3.0,,0.0,2,2,2,1,4.0,1.0,2,4.0,3.0,3.0,3,0.0,3,,0.0,,58,5
3.0,4.0,3,,1,2,2,3,3,4.0,3,3.0,0,2,3,0,0,4.0,4,1,2,3,1.0,4.0,3.0,3.0,3.0,3,0.0,3,3,2,3.0,4.0,1,2,3.0,4.0,3,2,1,3,2,2,2,3,3,3,2,2,3,3.0,3.0,4.0,3,0,3.0,3.0,4.0,3.0,0.0,2,2,0,4.0,0,4.0,3,3,4.0,3.0,0.0,3.0,3.0,4.0,4.0,3,3,3,3,4.0,3.0,2,3.0,3.0,3.0,3,2.0,3,0.0,4.0,,59,5
4.0,,2,0.0,0,2,2,3,3,3.0,2,3.0,3,2,3,1,3,4.0,3,0,1,0,3.0,4.0,3.0,4.0,4.0,2,0.0,0,3,3,3.0,3.0,1,2,3.0,3.0,2,2,1,1,2,2,2,3,3,2,2,0,2,3.0,3.0,4.0,2,2,3.0,2.0,3.0,0.0,4.0,2,2,0,4.0,2,4.0,3,3,0.0,3.0,4.0,3.0,3.0,,4.0,3,3,3,2,3.0,4.0,1,4.0,3.0,3.0,3,3.0,3,,4.0,,60,5
,0.0,0,,3,3,3,3,1,0.0,2,4.0,3,2,3,3,3,,4,2,2,4,4.0,3.0,0.0,4.0,,1,0.0,0,4,4,4.0,3.0,1,1,3.0,0.0,2,3,2,3,1,0,2,3,4,4,3,2,4,3.0,3.0,4.0,3,4,4.0,3.0,2.0,3.0,3.0,3,3,4,3.0,2,,2,3,,4.0,,4.0,2.0,,,4,3,3,3,4.0,4.0,2,,3.0,2.0,0,4.0,4,0.0,4.0,,61,5
3.0,4.0,4,,4,3,3,1,4,3.0,4,3.0,3,3,0,2,2,4.0,4,3,3,3,3.0,2.0,3.0,2.0,4.0,4,4.0,3,3,3,4.0,,4,3,4.0,4.0,4,3,3,2,0,4,3,1,0,2,2,4,0,,4.0,,0,0,4.0,3.0,2.0,3.0,0.0,3,2,3,4.0,2,4.0,1,3,0.0,4.0,4.0,0.0,4.0,,4.0,2,3,3,0,3.0,4.0,4,3.0,3.0,4.0,4,3.0,4,,4.0,,62,5
4.0,,0,,2,2,2,3,2,3.0,2,3.0,0,2,2,2,2,4.0,4,2,1,3,3.0,1.0,4.0,3.0,3.0,0,2.0,4,4,1,2.0,0.0,3,2,3.0,2.0,1,3,0,4,1,2,1,2,4,4,0,2,3,3.0,2.0,3.0,4,3,1.0,4.0,4.0,4.0,,3,2,4,3.0,3,,4,3,4.0,3.0,4.0,3.0,0.0,,4.0,3,2,3,3,,0.0,1,0.0,4.0,1.0,0,3.0,3,,4.0,,63,5
4.0,,2,,3,2,3,2,1,3.0,2,3.0,2,3,2,1,1,3.0,3,0,2,4,0.0,0.0,3.0,3.0,3.0,3,3.0,3,3,3,3.0,3.0,3,3,4.0,3.0,3,3,2,3,0,3,2,3,3,3,1,0,3,4.0,3.0,0.0,3,3,3.0,3.0,3.0,3.0,4.0,3,1,3,4.0,0,4.0,2,2,4.0,3.0,4.0,2.0,2.0,,0.0,3,3,3,3,4.0,0.0,2,3.0,0.0,3.0,4,2.0,3,,3.0,,64,5
5.0,,4,,4,2,3,3,4,2.0,4,5.0,3,3,0,2,3,1.0,3,2,4,3,5.0,5.0,2.0,4.0,5.0,4,4.0,2,2,4,5.0,5.0,3,4,5.0,5.0,3,0,3,0,4,4,4,3,2,2,4,5,3,4.0,5.0,0.0,2,4,4.0,0.0,0.0,2.0,3.0,3,1,3,5.0,1,4.0,1,2,5.0,0.0,3.0,4.0,5.0,0.0,2.0,3,3,2,2,0.0,3.0,3,0.0,2.0,5.0,4,2.0,5,,3.0,,65,5
3.0,,3,,3,0,3,1,2,3.0,1,1.0,3,4,4,3,3,4.0,4,2,3,4,1.0,3.0,0.0,0.0,0.0,3,3.0,4,2,2,3.0,,3,4,,0.0,4,4,3,3,4,4,3,1,0,3,2,0,3,4.0,4.0,,3,2,4.0,4.0,4.0,4.0,4.0,3,3,4,,2,0.0,3,3,3.0,4.0,,2.0,0.0,,,0,3,3,4,4.0,4.0,3,2.0,4.0,4.0,3,3.0,4,,4.0,,66,5
0.0,4.0,4,0.0,4,3,3,3,4,2.0,4,3.0,4,3,0,2,2,4.0,4,3,3,4,1.0,1.0,0.0,4.0,3.0,4,4.0,3,4,3,4.0,,3,4,,0.0,4,3,4,3,3,4,3,3,3,3,3,4,2,4.0,,,3,2,4.0,0.0,2.0,3.0,3.0,2,1,3,,2,4.0,2,3,4.0,3.0,4.0,0.0,,,4.0,3,3,0,0,4.0,3.0,4,3.0,1.0,,4,2.0,4,0.0,4.0,,67,5
,,3,,1,0,2,4,3,4.0,3,4.0,3,3,3,1,3,3.0,0,1,2,2,4.0,4.0,3.0,4.0,,2,3.0,3,2,4,,4.0,3,2,4.0,4.0,3,3,2,2,3,3,2,3,3,3,3,3,3,4.0,3.0,4.0,3,4,2.0,2.0,3.0,3.0,4.0,3,2,3,4.0,2,0.0,3,1,,2.0,0.0,4.0,0.0,,2.0,2,2,2,1,3.0,2.0,0,,3.0,3.0,0,0.0,0,,0.0,,68,5
3.0,,2,,2,3,2,2,0,4.0,0,2.0,3,0,3,3,2,,4,2,2,4,2.0,3.0,,0.0,0.0,1,2.0,4,4,0,3.0,3.0,3,2,3.0,3.0,2,3,1,4,3,1,1,3,3,4,1,2,4,3.0,0.0,4.0,3,2,4.0,4.0,0.0,4.0,,4,3,4,3.0,3,,4,3,3.0,4.0,,2.0,3.0,0.0,,4,3,4,4,,4.0,0,2.0,4.0,2.0,3,4.0,3,,,,69,5
,,0,,2,2,2,3,2,2.0,2,3.0,3,1,3,2,2,3.0,2,1,2,2,3.0,3.0,3.0,3.0,1.0,0,2.0,3,3,2,3.0,3.0,2,2,3.0,3.0,0,0,1,3,3,0,1,3,3,3,2,3,3,3.0,2.0,3.0,3,0,3.0,3.0,3.0,3.0,,3,2,2,3.0,1,0.0,3,0,,3.0,,2.0,3.0,,,3,2,3,3,,0.0,2,3.0,3.0,3.0,3,2.0,3,0.0,3.0,,70,5
,,3,,3,2,3,3,4,4.0,4,4.0,3,4,3,2,2,0.0,3,0,3,4,4.0,1.0,4.0,4.0,4.0,4,4.0,3,2,3,4.0,4.0,0,3,0.0,,4,2,3,2,3,3,4,3,0,3,4,4,3,1.0,4.0,4.0,3,4,4.0,4.0,4.0,4.0,,3,3,0,4.0,1,0.0,3,2,,3.0,3.0,0.0,,,3.0,0,3,3,2,4.0,2.0,4,4.0,4.0,4.0,4,1.0,4,,0.0,,71,5
4.0,,3,4.0,4,3,3,2,4,3.0,4,4.0,3,2,0,2,0,4.0,3,2,3,3,0.0,0.0,2.0,4.0,4.0,3,4.0,2,3,4,4.0,4.0,3,3,4.0,4.0,2,3,3,3,3,4,3,3,3,3,3,4,0,4.0,4.0,,2,4,4.0,3.0,0.0,2.0,4.0,3,1,3,4.0,1,4.0,2,0,4.0,3.0,4.0,3.0,4.0,,3.0,3,3,3,2,3.0,3.0,3,0.0,0.0,4.0,0,2.0,4,,1.0,,72,5
,4.0,4,,0,3,3,3,3,2.0,4,4.0,4,3,0,1,3,4.0,3,2,3,0,4.0,4.0,3.0,0.0,,4,4.0,0,3,4,4.0,4.0,3,4,,,3,2,3,2,4,4,3,3,2,0,3,4,2,4.0,4.0,,2,4,4.0,2.0,3.0,0.0,3.0,2,1,2,,1,0.0,2,0,,3.0,4.0,4.0,,,4.0,3,2,3,3,0.0,4.0,3,4.0,2.0,4.0,4,2.0,4,,4.0,,73,5
3.0,4.0,2,,3,1,0,0,0,4.0,3,2.0,0,2,3,2,2,3.0,3,2,3,3,3.0,3.0,3.0,3.0,0.0,3,3.0,3,2,2,2.0,4.0,3,3,3.0,4.0,0,2,1,2,4,3,3,3,3,3,2,3,3,3.0,4.0,4.0,0,2,4.0,3.0,0.0,3.0,4.0,3,1,2,4.0,1,4.0,3,2,3.0,0.0,3.0,1.0,4.0,,0.0,3,2,2,2,4.0,3.0,2,3.0,3.0,3.0,3,2.0,3,,3.0,,74,5
4.0,,0,,2,3,2,0,2,3.0,2,4.0,2,1,2,2,2,,4,2,1,3,3.0,3.0,4.0,4.0,4.0,1,0.0,3,4,3,0.0,3.0,2,0,3.0,4.0,2,3,2,4,3,1,1,2,3,4,1,1,3,3.0,2.0,4.0,4,3,0.0,4.0,4.0,4.0,,3,3,0,3.0,3,4.0,4,3,4.0,4.0,,3.0,3.0,,4.0,4,3,4,2,,4.0,0,4.0,4.0,0.0,2,3.0,3,,4.0,0.0,75,5
4.0,,2,,2,2,0,4,3,3.0,2,4.0,3,2,1,2,2,4.0,0,1,1,2,3.0,3.0,4.0,4.0,4.0,2,2.0,3,3,4,0.0,3.0,2,2,3.0,4.0,0,3,2,3,3,2,2,3,3,3,3,0,3,3.0,2.0,3.0,3,3,3.0,3.0,3.0,3.0,4.0,3,2,3,0.0,1,0.0,3,3,4.0,2.0,4.0,4.0,3.0,,0.0,3,1,0,2,4.0,3.0,1,4.0,3.0,3.0,0,2.0,3,,3.0,,76,5
4.0,,1,,3,3,2,4,3,4.0,3,4.0,0,2,3,3,0,3.0,4,2,2,4,4.0,4.0,3.0,4.0,4.0,3,3.0,3,0,3,4.0,3.0,2,1,3.0,4.0,0,3,2,3,3,2,3,3,3,4,3,0,3,4.0,3.0,4.0,3,0,4.0,3.0,4.0,3.0,0.0,3,2,4,4.0,1,,0,2,,3.0,4.0,4.0,4.0,,0.0,3,3,3,2,4.0,3.0,2,4.0,4.0,0.0,3,2.0,4,4.0,3.0,,77,5
4.0,,3,,0,2,2,0,3,0.0,3,3.0,3,2,3,0,2,4.0,3,1,2,0,4.0,4.0,2.0,3.0,4.0,3,3.0,2,3,3,4.0,4.0,1,2,3.0,4.0,2,0,2,1,0,3,2,2,2,1,3,3,0,0.0,2.0,4.0,2,3,4.0,2.0,2.0,1.0,3.0,0,2,2,3.0,1,3.0,1,3,4.0,3.0,4.0,4.0,4.0,,4.0,2,2,3,2,2.0,3.0,1,4.0,2.0,3.0,3,3.0,3,,3.0,,78,5
3.0,4.0,2,,0,2,2,1,2,4.0,2,2.0,3,2,3,3,2,4.0,4,1,1,3,0.0,3.0,4.0,1.0,3.0,2,3.0,3,3,2,1.0,4.0,2,2,4.0,2.0,3,3,2,3,2,3,2,0,3,3,1,0,3,3.0,3.0,4.0,3,0,4.0,4.0,4.0,4.0,,2,2,3,3.0,0,4.0,3,3,2.0,3.0,0.0,0.0,3.0,,4.0,2,2,0,1,4.0,3.0,2,2.0,4.0,0.0,3,3.0,3,,4.0,,79,5
4.0,,3,,2,2,3,2,4,3.0,3,4.0,4,0,4,3,3,4.0,4,2,3,3,4.0,4.0,4.0,0.0,4.0,4,3.0,4,0,4,0.0,4.0,0,3,4.0,,2,3,3,3,4,3,3,3,3,3,3,4,3,4.0,4.0,,2,0,4.0,3.0,0.0,2.0,4.0,3,3,4,4.0,1,2.0,2,2,3.0,3.0,4.0,3.0,,0.0,3.0,3,3,0,3,4.0,3.0,1,3.0,3.0,4.0,4,0.0,4,,3.0,,80,5
4.0,,2,,3,2,2,0,0,2.0,3,4.0,3,2,0,2,1,3.0,3,1,1,0,3.0,0.0,4.0,4.0,4.0,2,3.0,3,3,3,2.0,3.0,3,3,4.0,3.0,3,3,0,0,2,2,2,2,3,3,2,3,3,4.0,3.0,4.0,3,4,3.0,3.0,3.0,3.0,4.0,3,3,3,4.0,2,4.0,3,2,4.0,2.0,0.0,3.0,3.0,,3.0,2,3,3,2,4.0,0.0,2,4.0,3.0,0.0,3,3.0,3,,3.0,,81,5
4.0,,2,4.0,3,3,3,3,3,4.0,3,4.0,3,3,4,3,3,4.0,0,2,2,3,4.0,0.0,4.0,3.0,3.0,3,0.0,3,4,3,4.0,3.0,1,3,4.0,4.0,0,3,1,3,3,2,2,3,4,0,1,3,4,3.0,3.0,4.0,3,0,4.0,4.0,4.0,4.0,,3,3,0,4.0,2,,4,3,4.0,3.0,,4.0,4.0,0.0,4.0,4,3,4,2,4.0,4.0,2,0.0,4.0,0.0,2,3.0,4,,4.0,,82,5
4.0,0.0,3,,3,1,0,3,3,2.0,3,4.0,0,1,3,1,2,3.0,3,2,2,2,4.0,4.0,2.0,4.0,4.0,2,3.0,1,2,3,4.0,3.0,3,3,4.0,4.0,2,2,2,2,3,3,3,3,2,2,3,4,0,4.0,3.0,4.0,2,4,3.0,2.0,3.0,1.0,3.0,0,2,2,4.0,1,0.0,0,2,,2.0,3.0,4.0,4.0,,2.0,2,2,0,0,3.0,2.0,2,4.0,2.0,4.0,3,0.0,4,,1.0,,83,5
3.0,0.0,1,,2,3,2,2,0,3.0,2,3.0,2,1,3,2,2,,3,1,1,0,3.0,2.0,3.0,3.0,3.0,2,2.0,3,3,1,3.0,3.0,2,2,3.0,0.0,0,3,0,3,2,2,0,2,3,3,2,2,3,3.0,2.0,3.0,2,0,3.0,3.0,1.0,3.0,0.0,3,2,3,3.0,2,,3,3,3.0,3.0,,3.0,3.0,,,3,2,3,3,3.0,,1,3.0,3.0,3.0,0,,3,,,,84,5
,,3,,3,0,3,3,3,2.0,0,4.0,4,3,4,3,3,2.0,4,3,4,4,4.0,4.0,4.0,4.0,4.0,4,4.0,0,1,4,,,2,4,4.0,,3,1,2,3,4,4,4,3,2,3,3,4,3,4.0,,,2,0,,4.0,3.0,4.0,4.0,4,3,2,,2,,3,2,4.0,0.0,0.0,0.0,,0.0,1.0,2,2,2,1,4.0,0.0,3,4.0,4.0,4.0,4,2.0,4,0.0,2.0,,85,5
0.0,,2,0.0,2,2,2,2,0,4.0,3,3.0,3,1,3,0,2,2.0,3,0,2,4,1.0,3.0,4.0,0.0,3.0,3,3.0,4,3,2,0.0,3.0,3,0,3.0,4.0,3,3,1,4,3,2,2,3,3,4,2,2,3,4.0,3.0,4.0,3,0,4.0,4.0,4.0,4.0,,3,3,4,4.0,2,,4,1,2.0,3.0,4.0,2.0,4.0,,4.0,3,2,3,3,,0.0,2,3.0,4.0,3.0,3,3.0,1,,3.0,,86,5
0.0,4.0,4,,4,3,3,1,4,3.0,4,2.0,3,3,3,3,0,2.0,4,3,3,4,1.0,4.0,4.0,3.0,3.0,4,,0,3,2,0.0,4.0,4,4,,0.0,4,3,1,4,4,4,2,3,4,4,1,4,4,,,,0,0,4.0,4.0,0.0,4.0,,3,3,3,,2,,3,3,2.0,0.0,4.0,2.0,,,4.0,3,4,4,3,,3.0,4,2.0,4.0,,4,2.0,4,,4.0,0.0,87,5
4.0,,2,,2,3,2,3,2,3.0,2,4.0,0,1,2,2,1,4.0,3,1,1,2,3.0,3.0,4.0,3.0,3.0,1,2.0,3,3,0,4.0,2.0,2,1,3.0,3.0,2,3,2,3,0,0,0,2,3,3,1,2,3,3.0,1.0,3.0,3,2,3.0,0.0,4.0,3.0,4.0,3,2,3,0.0,2,3.0,3,0,4.0,3.0,4.0,3.0,3.0,,4.0,3,2,3,2,4.0,2.0,1,3.0,3.0,0.0,2,3.0,3,,3.0,0.0,88,5
3.0,4.0,2,,2,2,0,2,3,3.0,3,3.0,3,3,3,2,2,0.0,4,1,3,3,3.0,3.0,3.0,0.0,4.0,3,4.0,3,3,3,4.0,4.0,4,3,4.0,0.0,3,0,3,2,3,3,3,1,2,1,2,4,2,3.0,4.0,4.0,2,3,4.0,3.0,2.0,3.0,4.0,3,0,3,4.0,1,0.0,2,3,0.0,3.0,4.0,3.0,4.0,,4.0,0,3,2,3,3.0,3.0,3,1.0,3.0,0.0,3,2.0,4,,4.0,,89,5
,,5,,4,0,4,4,5,4.0,5,1.0,4,4,4,3,4,4.0,4,3,4,4,5.0,5.0,4.0,0.0,,5,5.0,3,2,5,,5.0,4,3,5.0,,4,2,4,3,5,5,4,4,0,4,5,5,4,5.0,0.0,,3,5,5.0,4.0,3.0,4.0,0.0,3,3,0,0.0,2,5.0,3,3,,2.0,0.0,5.0,,,3.0,3,3,3,1,4.0,3.0,4,5.0,0.0,5.0,5,3.0,5,,0.0,,90,5
3.0,,2,,2,3,3,0,2,3.0,2,1.0,3,3,2,2,2,4.0,3,1,1,0,2.0,3.0,3.0,0.0,0.0,3,2.0,4,4,1,3.0,3.0,3,3,4.0,4.0,0,3,2,3,3,2,0,0,3,2,1,0,1,3.0,3.0,4.0,3,2,4.0,4.0,4.0,0.0,4.0,2,3,3,2.0,2,4.0,3,3,2.0,4.0,0.0,2.0,3.0,,4.0,3,3,3,3,4.0,4.0,2,2.0,3.0,2.0,4,3.0,3,,4.0,,91,5
4.0,,2,,2,2,0,4,3,4.0,3,4.0,3,1,3,3,2,4.0,4,1,2,4,4.0,3.0,,4.0,4.0,2,3.0,4,3,3,4.0,3.0,3,0,4.0,4.0,0,3,2,4,3,2,3,3,4,4,3,3,4,3.0,2.0,0.0,3,3,4.0,4.0,4.0,,,4,3,4,0.0,2,,4,3,0.0,3.0,0.0,2.0,4.0,,4.0,3,0,3,3,,3.0,1,4.0,4.0,3.0,0,3.0,4,,0.0,,92,5
4.0,0.0,3,,3,2,0,3,3,3.0,3,4.0,3,3,3,2,2,3.0,3,2,3,3,4.0,4.0,2.0,3.0,0.0,0,4.0,2,0,3,4.0,4.0,3,3,4.0,4.0,3,2,3,0,1,3,3,3,2,3,3,4,3,4.0,4.0,4.0,2,3,4.0,0.0,1.0,2.0,3.0,2,2,2,4.0,1,4.0,0,2,4.0,2.0,3.0,3.0,4.0,,2.0,1,3,2,1,3.0,1.0,2,0.0,3.0,4.0,3,1.0,4,,0.0,,93,5
,,2,,2,0,2,3,2,4.0,3,4.0,3,0,3,2,1,0.0,3,1,1,0,4.0,0.0,4.0,2.0,4.0,2,0.0,4,3,4,4.0,3.0,3,3,4.0,3.0,3,3,2,3,0,2,2,0,4,4,3,3,3,4.0,3.0,0.0,4,4,4.0,4.0,4.0,4.0,,3,3,4,4.0,2,,4,2,,3.0,0.0,3.0,3.0,4.0,4.0,3,3,3,3,,3.0,2,4.0,4.0,3.0,3,3.0,4,,4.0,4.0,94,5
,0.0,3,3.0,3,1,3,3,2,0.0,3,4.0,2,2,2,0,0,2.0,2,1,2,3,4.0,3.0,3.0,4.0,4.0,3,0.0,2,1,4,4.0,3.0,2,2,3.0,4.0,2,2,2,2,2,3,2,2,3,2,3,3,2,4.0,3.0,4.0,2,4,3.0,2.0,2.0,2.0,3.0,3,1,2,3.0,0,3.0,1,1,,0.0,2.0,4.0,3.0,,2.0,2,1,0,1,3.0,0.0,2,3.0,2.0,3.0,3,0.0,4,,2.0,,95,5
3.0,,2,,3,2,2,2,1,3.0,2,3.0,2,3,3,1,0,0.0,3,1,2,3,0.0,3.0,3.0,3.0,3.0,3,2.0,3,3,2,0.0,3.0,3,3,,,2,2,0,2,3,2,1,2,3,2,1,0,2,3.0,2.0,,3,3,3.0,3.0,3.0,0.0,,2,2,0,,1,,3,2,3.0,3.0,,2.0,3.0,,,3,0,3,3,,3.0,2,3.0,3.0,2.0,3,2.0,0,3.0,,,96,5
4.0,4.0,2,,3,2,3,1,3,3.0,3,3.0,3,3,3,2,2,3.0,3,1,3,3,3.0,3.0,3.0,0.0,4.0,3,4.0,2,1,3,4.0,4.0,0,2,4.0,4.0,2,3,3,2,3,3,3,0,2,2,2,3,2,4.0,4.0,,0,1,4.0,0.0,2.0,3.0,4.0,3,1,3,4.0,0,4.0,2,0,3.0,2.0,3.0,3.0,4.0,,3.0,2,1,0,1,3.0,2.0,2,2.0,3.0,3.0,0,2.0,0,,3.0,,97,5
8.0,,7,,0,4,6,6,7,6.0,8,0.0,7,7,0,5,7,8.0,6,6,6,7,7.0,6.0,7.0,7.0,7.0,7,8.0,8,7,6,7.0,8.0,7,7,0.0,0.0,7,7,7,7,7,7,6,7,7,0,7,8,7,8.0,8.0,,7,7,7.0,7.0,7.0,7.0,8.0,6,6,7,8.0,5,8.0,7,7,7.0,0.0,8.0,0.0,8.0,,4.0,7,6,7,7,7.0,7.0,7,7.0,0.0,8.0,8,6.0,0,,8.0,,98,5
4.0,,3,,3,3,4,0,3,4.0,3,3.0,3,3,3,2,3,4.0,3,2,1,3,4.0,4.0,4.0,0.0,4.0,2,0.0,3,3,4,4.0,4.0,0,3,4.0,3.0,3,3,3,3,0,3,2,3,3,3,3,2,3,2.0,3.0,0.0,0,3,0.0,3.0,3.0,3.0,4.0,0,2,3,4.0,1,4.0,2,3,4.0,2.0,4.0,4.0,4.0,,4.0,3,3,3,0,4.0,4.0,3,4.0,3.0,3.0,3,3.0,4,,4.0,,99,5
4.0,,3,,3,3,2,2,3,3.0,2,3.0,2,3,3,1,2,4.0,4,1,2,3,0.0,3.0,3.0,2.0,0.0,2,3.0,0,3,2,3.0,3.0,3,0,3.0,4.0,2,2,2,2,3,0,0,3,1,3,2,3,3,4.0,3.0,4.0,3,3,0.0,0.0,3.0,3.0,4.0,3,0,3,4.0,2,4.0,2,3,3.0,4.0,4.0,1.0,4.0,,4.0,0,3,3,3,3.0,4.0,2,3.0,3.0,3.0,3,2.0,3,,4.0,,100,5
3.0,,2,,3,3,0,3,3,4.0,3,3.0,1,2,3,2,1,,3,2,2,0,3.0,3.0,4.0,4.0,3.0,3,3.0,4,4,0,0.0,3.0,3,3,4.0,4.0,3,3,2,3,4,1,2,3,4,3,2,3,0,0.0,3.0,0.0,0,3,4.0,4.0,4.0,3.0,,1,3,3,4.0,2,,3,3,3.0,4.0,,2.0,4.0,,,4,3,3,4,4.0,4.0,0,4.0,4.0,3.0,4,4.0,3,0.0,,,101,5
4.0,,2,3.0,3,2,3,2,3,3.0,3,0.0,3,2,3,0,3,4.0,3,2,1,0,3.0,3.0,3.0,3.0,4.0,2,3.0,3,3,3,3.0,3.0,3,2,4.0,3.0,1,2,2,0,2,2,2,1,3,1,0,2,1,3.0,0.0,4.0,0,3,3.0,3.0,3.0,0.0,4.0,1,2,2,0.0,2,4.0,2,3,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3,2,3,2,3.0,4.0,1,4.0,3.0,1.0,0,3.0,3,,4.0,,102,5
4.0,4.0,3,0.0,3,4,3,2,4,3.0,4,4.0,3,2,4,2,2,4.0,4,1,3,2,3.0,4.0,3.0,0.0,4.0,3,3.0,4,4,1,4.0,4.0,0,0,4.0,4.0,2,3,3,1,2,0,3,3,3,2,3,4,2,4.0,3.0,4.0,3,3,4.0,3.0,3.0,0.0,4.0,2,2,3,4.0,1,0.0,3,3,4.0,4.0,,3.0,4.0,,,3,3,4,3,0.0,4.0,3,0.0,3.0,4.0,4,3.0,0,,4.0,,103,5
,4.0,1,,2,2,2,3,3,4.0,2,4.0,2,2,1,2,2,2.0,2,1,0,0,4.0,0.0,3.0,4.0,4.0,0,3.0,3,3,4,4.0,3.0,2,2,0.0,4.0,2,0,2,2,3,3,2,2,3,2,3,3,2,0.0,2.0,3.0,2,3,2.0,3.0,3.0,3.0,4.0,3,1,3,3.0,1,3.0,3,0,,3.0,4.0,4.0,3.0,,3.0,0,0,2,2,3.0,3.0,2,4.0,3.0,3.0,3,2.0,4,,3.0,,104,5
4.0,,1,,0,0,2,3,2,3.0,2,4.0,2,0,2,2,2,4.0,3,2,1,4,3.0,3.0,3.0,4.0,4.0,0,2.0,3,4,3,4.0,0.0,2,2,3.0,4.0,2,3,2,3,3,2,1,3,3,4,2,0,4,2.0,1.0,0.0,3,0,3.0,3.0,4.0,3.0,0.0,3,2,3,3.0,1,,4,2,4.0,3.0,,3.0,3.0,,4.0,3,3,3,3,,4.0,1,4.0,0.0,2.0,2,3.0,3,,4.0,,105,5
0.0,0.0,4,,4,2,4,4,5,4.0,4,0.0,3,3,3,2,3,2.0,4,3,4,4,4.0,5.0,4.0,4.0,5.0,4,5.0,0,2,4,5.0,5.0,4,4,5.0,5.0,4,2,3,2,5,4,4,3,3,3,3,5,3,5.0,5.0,,1,4,0.0,3.0,3.0,3.0,4.0,3,0,2,5.0,1,4.0,2,0,5.0,0.0,2.0,5.0,5.0,,3.0,3,0,2,1,3.0,2.0,3,5.0,3.0,5.0,4,2.0,5,,3.0,0.0,106,5
3.0,0.0,3,0.0,0,1,2,4,3,3.0,4,4.0,3,3,3,2,3,4.0,3,2,3,2,4.0,0.0,3.0,,0.0,3,4.0,3,3,4,0.0,4.0,2,0,4.0,4.0,3,3,3,2,2,3,3,4,3,0,4,4,3,4.0,4.0,,3,4,4.0,3.0,3.0,0.0,4.0,2,3,3,4.0,1,3.0,2,2,,3.0,4.0,4.0,4.0,,4.0,0,3,3,3,3.0,3.0,3,4.0,2.0,4.0,1,1.0,4,,4.0,,107,5
4.0,4.0,0,,2,3,1,2,2,3.0,1,3.0,0,0,2,2,0,4.0,3,1,1,3,0.0,3.0,3.0,3.0,3.0,2,2.0,3,4,3,3.0,2.0,2,1,0.0,3.0,1,3,2,3,2,2,1,3,0,3,2,0,3,3.0,0.0,3.0,3,2,3.0,2.0,3.0,0.0,4.0,3,2,3,2.0,2,4.0,3,2,3.0,3.0,,1.0,3.0,,4.0,3,2,3,3,4.0,4.0,2,3.0,3.0,1.0,3,3.0,3,,4.0,,108,5
